Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD]
2000,YR2000,Africa,AFR,3.68964521046816,728.587144740338
2000,YR2000,Algeria,DZA,2.20000070353934,1794.40523316556
2000,YR2000,Angola,AGO,3.01207617559396,298.405842933873
2000,YR2000,Benin,BEN,4.86166756002036,361.950149313726
2000,YR2000,Botswana,BWA,5.88557942009875,3204.1154830988
2000,YR2000,Burkina Faso,BFA,1.84702133223023,212.376491861048
2000,YR2000,Burundi,BDI,-0.856864057159756,131.04633409466
2000,YR2000,Cameroon,CMR,4.19999633168997,592.372000302157
2000,YR2000,Cape Verde,CPV,7.26695189094362,1233.25752260653
2000,YR2000,Central African Republic,CAF,-2.50001422579923,247.028184404372
2000,YR2000,Chad,TCD,-0.879681021492584,168.450879113736
2000,YR2000,Comoros,COM,1.41785266081012,358.952908741127
2000,YR2000,"Congo, Dem. Rep.",COD,-6.91092731625191,86.754506732915
2000,YR2000,"Congo, Rep.",COG,7.57598039215686,1026.83155510095
2000,YR2000,Cote d'Ivoire,CIV,-3.70020469217446,628.228114827668
2000,YR2000,Djibouti,DJI,0.416213963968648,753.119645125224
2000,YR2000,"Egypt, Arab Rep.",EGY,5.36800598523315,1475.84440956885
2000,YR2000,Equatorial Guinea,GNQ,12.4526806974291,2388.34862476677
2000,YR2000,Eritrea,ERI,-13.12036662623,172.757156225256
2000,YR2000,Ethiopia,ETH,6.07285906187929,123.680916753589
2000,YR2000,Gabon,GAB,-1.88296639629201,4102.62460215775
2000,YR2000,"Gambia, The",GMB,5.49999999978676,603.595346231661
2000,YR2000,Ghana,GHA,3.69999999703601,259.990694420952
2000,YR2000,Guinea,GIN,2.5030605615421,358.962909060459
2000,YR2000,Guinea-Bissau,GNB,3.64164114907064,173.663603290408
2000,YR2000,Kenya,KEN,0.599695392816346,406.523059569846
2000,YR2000,Lesotho,LSO,5.14033833499907,392.692739817916
2000,YR2000,Liberia,LBR,25.6999988380658,185.81340385982
2000,YR2000,Libya,LBY,3.69999999999999,6479.7125224821
2000,YR2000,Madagascar,MDG,4.76006509511213,252.382516697735
2000,YR2000,Malawi,MWI,1.57607784084257,155.271544474367
2000,YR2000,Mali,MLI,3.2,214.46771403099
2000,YR2000,Mauritania,MRT,-0.430406256338167,489.511644998469
2000,YR2000,Mauritius,MUS,9.02661406175129,3861.03854240778
2000,YR2000,Morocco,MAR,1.59256767248073,1285.73981142507
2000,YR2000,Mozambique,MOZ,1.09098199974131,236.809639819411
2000,YR2000,Namibia,NAM,3.48845178689368,2061.67196864466
2000,YR2000,Niger,NER,-1.4095093497658,164.648947574517
2000,YR2000,Nigeria,NGA,5.3999999987925,371.768080388183
2000,YR2000,North Africa,NAF,3.78276352999787,1737.30984744776
2000,YR2000,Rwanda,RWA,8.31870494884024,214.233698923836
2000,YR2000,Sao Tome and Principe,STP,..,543.999039311542
2000,YR2000,Senegal,SEN,3.19898807957024,492.286225232753
2000,YR2000,Seychelles,SYC,4.20335471556976,7578.8289461474
2000,YR2000,Sierra Leone,SLE,6.65272788470479,153.47727547962
2000,YR2000,Somalia,SOM,..,..
2000,YR2000,South Africa,ZAF,4.15458852163504,3019.94636722554
2000,YR2000,South Sudan,SSD,..,..
2000,YR2000,Sub-Saharan Africa (all income levels),SSF,3.62109265232939,510.797067236441
2000,YR2000,Sub-Saharan Africa (developing only),SSA,3.59086625585175,509.310331955848
2000,YR2000,Sub-Saharan Africa excluding South Africa,SXZ,3.27463724648345,331.669880870869
2000,YR2000,Sub-Saharan Africa excluding South Africa and Nigeria,XZN,2.66790062154216,321.446070577132
2000,YR2000,Sudan,SDN,8.37918366337316,444.807983792735
2000,YR2000,Swaziland,SWZ,1.76017390133407,1508.22097940108
2000,YR2000,Tanzania,TZA,4.93384662713683,299.246077679998
2000,YR2000,Togo,TGO,-0.783479606821336,270.000876119283
2000,YR2000,Tunisia,TUN,4.7098601845929,2245.33505902835
2000,YR2000,Uganda,UGA,3.14190733782573,255.780611186303
2000,YR2000,Zambia,ZMB,3.5169574938708,318.926822169497
2000,YR2000,Zimbabwe,ZWE,-3.05918975171061,534.791151544984
2001,YR2001,Africa,AFR,3.42161185381049,694.492434875681
2001,YR2001,Algeria,DZA,2.59999516824885,1781.05381351174
2001,YR2001,Angola,AGO,3.1419662220479,314.710981515758
2001,YR2001,Benin,BEN,6.24841055596799,371.84110707079
2001,YR2001,Botswana,BWA,3.54410192799683,3381.28609243039
2001,YR2001,Burkina Faso,BFA,6.58537435531132,222.3861539694
2001,YR2001,Burundi,BDI,2.05580710643816,126.511928739529
2001,YR2001,Cameroon,CMR,4.51427108687705,600.577756152489
2001,YR2001,Cape Verde,CPV,6.13761494787552,1264.9501606375
2001,YR2001,Central African Republic,CAF,0.600000000000001,247.362403085857
2001,YR2001,Chad,TCD,11.65813464948,200.676099401737
2001,YR2001,Comoros,COM,3.32920857248171,381.107114983828
2001,YR2001,"Congo, Dem. Rep.",COD,-2.10000808190899,92.0154867147875
2001,YR2001,"Congo, Rep.",COG,3.80260190016177,869.583813716901
2001,YR2001,Cote d'Ivoire,CIV,-0.0212304714905742,624.244949630522
2001,YR2001,Djibouti,DJI,2.04776437491121,763.626449192056
2001,YR2001,"Egypt, Arab Rep.",EGY,3.53522567186164,1417.25645538753
2001,YR2001,Equatorial Guinea,GNQ,63.3798754275943,3231.81740134206
2001,YR2001,Eritrea,ERI,21.2453833465781,180.354114269938
